frame.number,frame.time,frame.len,tcp.len,eth.src,eth.dst,ip.src,ip.dst,ip.len,ip.proto,_ws.col.Info
"28","Feb 10, 2020 21:28:04.680916308 IST","66","0","98:22:ef:d5:cc:2f","68:ff:7b:9c:eb:36","192.168.0.104","35.222.85.5","52","6","36122 → 80 [FIN, ACK] Seq=88 Ack=150 Win=64128 Len=0 TSval=3306215077 TSecr=684961353"
"29","Feb 10, 2020 21:28:04.987516532 IST","66","0","68:ff:7b:9c:eb:36","98:22:ef:d5:cc:2f","35.222.85.5","192.168.0.104","52","6","80 → 36122 [ACK] Seq=150 Ack=89 Win=29312 Len=0 TSval=684961706 TSecr=3306215077"
"30","Feb 10, 2020 21:28:06.366280833 IST","42",,"98:22:ef:d5:cc:2f","30:4b:07:69:03:c0",,,,,"192.168.0.110 is at 98:22:ef:d5:cc:2f"
"31","Feb 10, 2020 21:28:06.368800300 IST","42",,"98:22:ef:d5:cc:2f","30:4b:07:69:03:c0",,,,,"192.168.0.1 is at 98:22:ef:d5:cc:2f"
"32","Feb 10, 2020 21:28:06.368808200 IST","42",,"98:22:ef:d5:cc:2f","68:ff:7b:9c:eb:36",,,,,"192.168.0.102 is at 98:22:ef:d5:cc:2f (duplicate use of 192.168.0.1 detected!)"
"33","Feb 10, 2020 21:28:06.368811127 IST","42",,"98:22:ef:d5:cc:2f","30:e3:7a:0d:3a:86",,,,,"192.168.0.102 is at 98:22:ef:d5:cc:2f (duplicate use of 192.168.0.110 detected!)"
"34","Feb 10, 2020 21:28:08.366404229 IST","42",,"98:22:ef:d5:cc:2f","30:4b:07:69:03:c0",,,,,"192.168.0.1 is at 98:22:ef:d5:cc:2f"
"35","Feb 10, 2020 21:28:08.368934169 IST","42",,"98:22:ef:d5:cc:2f","68:ff:7b:9c:eb:36",,,,,"192.168.0.102 is at 98:22:ef:d5:cc:2f (duplicate use of 192.168.0.1 detected!)"
"36","Feb 10, 2020 21:28:08.368947978 IST","42",,"98:22:ef:d5:cc:2f","30:e3:7a:0d:3a:86",,,,,"192.168.0.102 is at 98:22:ef:d5:cc:2f (duplicate use of 192.168.0.110 detected!)"
"37","Feb 10, 2020 21:28:08.368954812 IST","42",,"98:22:ef:d5:cc:2f","30:4b:07:69:03:c0",,,,,"192.168.0.110 is at 98:22:ef:d5:cc:2f"
"38","Feb 10, 2020 21:28:10.366658314 IST","42",,"98:22:ef:d5:cc:2f","68:ff:7b:9c:eb:36",,,,,"192.168.0.102 is at 98:22:ef:d5:cc:2f (duplicate use of 192.168.0.1 detected!)"
"39","Feb 10, 2020 21:28:10.369162489 IST","42",,"98:22:ef:d5:cc:2f","30:e3:7a:0d:3a:86",,,,,"192.168.0.102 is at 98:22:ef:d5:cc:2f (duplicate use of 192.168.0.110 detected!)"
"40","Feb 10, 2020 21:28:10.369165905 IST","42",,"98:22:ef:d5:cc:2f","30:4b:07:69:03:c0",,,,,"192.168.0.1 is at 98:22:ef:d5:cc:2f"
"41","Feb 10, 2020 21:28:10.369228068 IST","42",,"98:22:ef:d5:cc:2f","30:4b:07:69:03:c0",,,,,"192.168.0.110 is at 98:22:ef:d5:cc:2f"
"42","Feb 10, 2020 21:28:12.053808180 IST","418","352","68:ff:7b:9c:eb:36","98:22:ef:d5:cc:2f","52.20.208.148","192.168.0.104","404","6","Application Data"
"43","Feb 10, 2020 21:28:12.053892164 IST","66","0","98:22:ef:d5:cc:2f","68:ff:7b:9c:eb:36","192.168.0.104","52.20.208.148","52","6","46328 → 443 [ACK] Seq=1 Ack=705 Win=501 Len=0 TSval=2922395229 TSecr=1459460588"
"44","Feb 10, 2020 21:28:12.157332053 IST","418","352","68:ff:7b:9c:eb:36","98:22:ef:d5:cc:2f","52.20.208.148","192.168.0.104","404","6","Application Data"
"45","Feb 10, 2020 21:28:12.200895431 IST","66","0","98:22:ef:d5:cc:2f","68:ff:7b:9c:eb:36","192.168.0.104","52.20.208.148","52","6","46322 → 443 [ACK] Seq=36 Ack=736 Win=501 Len=0 TSval=2922395376 TSecr=1459460589"
"46","Feb 10, 2020 21:28:12.368988753 IST","42",,"98:22:ef:d5:cc:2f","30:e3:7a:0d:3a:86",,,,,"192.168.0.102 is at 98:22:ef:d5:cc:2f (duplicate use of 192.168.0.110 detected!)"
"47","Feb 102020 21:26:12.323486113 IST","98:22:ef:d5:cc:2f","30:e3:7a:0d:3a:86",,,,"192.168.0.102 is at 98:22:ef:d5:cc:2f (duplicate use of 192.168.0.110 detected!)"
"51","Feb 10, 2020 21:26:12.323493847 IST","98:22:ef:d5:cc:2f","68:ff:7b:9c:eb:36",,,,"192.168.0.102 is at 98:22:ef:d5:cc:2f"
detected!)"
"49","Feb 10, 2020 21:28:12.371508294 IST","42",,"98:22:ef:d5:cc:2f","30:4b:07:69:03:c0",,,,,"192.168.0.110 is at 98:22:ef:d5:cc:2f"
"50","Feb 10, 2020 21:28:14.369452058 IST","42",,"98:22:ef:d5:cc:2f","68:ff:7b:9c:eb:36",,,,,"192.168.0.102 is at 98:22:ef:d5:cc:2f (duplicate use of 192.168.0.1 detected!)"
"51","Feb 10, 2020 21:28:14.372000826 IST","42",,"98:22:ef:d5:cc:2f","30:4b:07:69:03:c0",,,,,"192.168.0.1 is at 98:22:ef:d5:cc:2f"
"52","Feb 10, 2020 21:28:14.372013809 IST","42",,"98:22:ef:d5:cc:2f","30:4b:07:69:03:c0",,,,,"192.168.0.110 is at 98:22:ef:d5:cc:2f"
"53","Feb 10, 2020 21:28:14.372020815 IST","42",,"98:22:ef:d5:cc:2f","30:e3:7a:0d:3a:86",,,,,"192.168.0.102 is at 98:22:ef:d5:cc:2f (duplicate use of 192.168.0.110 detected!)"
"54","Feb 10, 2020 21:28:16.369986912 IST","42",,"98:22:ef:d5:cc:2f","30:4b:07:69:03:c0",,,,,"192.168.0.1 is at 98:22:ef:d5:cc:2f"
"55","Feb 10, 2020 21:28:16.372485415 IST","42",,"98:22:ef:d5:cc:2f","30:4b:07:69:03:c0",,,,,"192.168.0.110 is at 98:22:ef:d5:cc:2f"
"56","Feb 10, 2020 21:28:16.372506172 IST","42",,"98:22:ef:d5:cc:2f","30:e3:7a:0d:3a:86",,,,,"192.168.0.102 is at 98:22:ef:d5:cc:2f (duplicate use of 192.168.0.110 detected!)"
"57","Feb 10, 2020 21:28:16.372515126 IST","42",,"98:22:ef:d5:cc:2f","68:ff:7b:9c:eb:36",,,,,"192.168.0.102 is at 98:22:ef:d5:cc:2f (duplicate use of 192.168.0.1 detected!)"
"58","Feb 10, 2020 21:28:18.370123726 IST","42",,"98:22:ef:d5:cc:2f","30:4b:07:69:03:c0",,,,,"192.168.0.110 is at 98:22:ef:d5:cc:2f"
"59","Feb 10, 2020 21:28:18.372630209 IST","42",,"98:22:ef:d5:cc:2f","30:e3:7a:0d:3a:86",,,,,"192.168.0.102 is at 98:22:ef:d5:cc:2f (duplicate use of 192.168.0.110 detected!)"
"60","Feb 10, 2020 21:28:18.372633963 IST","42",,"98:22:ef:d5:cc:2f","68:ff:7b:9c:eb:36",,,,,"192.168.0.102 is at 98:22:ef:d5:cc:2f (duplicate use of 192.168.0.1 detected!)"
"61","Feb 10, 2020 21:28:18.372682851 IST","42",,"98:22:ef:d5:cc:2f","30:4b:07:69:03:c0",,,,,"192.168.0.1 is at 98:22:ef:d5:cc:2f"
"62","Feb 10, 2020 21:28:19.713115599 IST","105","39","98:22:ef:d5:cc:2f","68:ff:7b:9c:eb:36","192.168.0.104","216.58.203.46","91","6","Application Data"
"63","Feb 10, 2020 21:28:19.715655971 IST","105","39","98:22:ef:d5:cc:2f","68:ff:7b:9c:eb:36","192.168.0.104","172.217.166.163","91","6","Application Data"
"64","Feb 10, 2020 21:28:19.733072754 IST","105","39","68:ff:7b:9c:eb:36","98:22:ef:d5:cc:2f","216.58.203.46","192.168.0.104","91","6","Application Data"
"65","Feb 10, 2020 21:28:19.733112504 IST","66","0","98:22:ef:d5:cc:2f","68:ff:7b:9c:eb:36","192.168.0.104","216.58.203.46","52","6","59482 → 443 [ACK] Seq=40 Ack=40 Win=501 Len=0 TSval=2831544956 TSecr=2049703748"
"66","Feb 10, 2020 21:28:19.734784672 IST","105","39","68:ff:7b:9c:eb:36","98:22:ef:d5:cc:2f","172.217.166.163","192.168.0.104","91","6","Application Data"
"67","Feb 10, 2020 21:28:19.734800224 IST","66","0","98:22:ef:d5:cc:2f","68:ff:7b:9c:eb:36","192.168.0.104","172.217.166.163","52","6","35332 → 443 [ACK] Seq=40 Ack=40 Win=501 Len=0 TSval=518855530 TSecr=1302336182"
"68","Feb 10, 2020 21:28:20.372214402 IST","42",,"98:22:ef:d5:cc:2f","30:e3:7a:0d:3a:86",,,,,"192.168.0.102 is at 98:22:ef:d5:cc:2f (duplicate use of 192.168.0.110 detected!)"
"69","Feb 10, 2020 21:28:20.374706055 IST","42",,"98:22:ef:d5:cc:2f","68:ff:7b:9c:eb:36",,,,,"192.168.0.102 is at 98:22:ef:d5:cc:2f (duplicate use of 192.168.0.1 detected!)"
"70","Feb 10, 2020 21:28:20.374710466 IST","42",,"98:22:ef:d5:cc:2f","30:4b:07:69:03:c0",,,,,"192.168.0.110 is at 98:22:ef:d5:cc:2f"
"71","Feb 10, 2020 21:28:20.374712419 IST","42",,"98:22:ef:d5:cc:2f","30:4b:07:69:03:c0",,,,,"192.168.0.1 is at 98:22:ef:d5:cc:2f"
"72","Feb 10, 2020 21:28:20.716494848 IST","105","39","98:22:ef:d5:cc:2f","68:ff:7b:9c:eb:36","192.168.0.104","216.58.203.34","91","6","Application Data"
"73","Feb 10, 2020 21:28:20.719070457 IST","105","39","98:22:ef:d5:cc:2f","68:ff:7b:9c:eb:36","192.168.0.104","216.58.203.34","91","6","Application Data"
"74","Feb 10, 2020 21:28:20.739083415 IST","105","39","68:ff:7b:9c:eb:36","98:22:ef:d5:cc:2f","216.58.203.34","192.168.0.104","91","6","Application Data"
"75","Feb 10, 2020 21:28:20.739145785 IST","66","0","98:22:ef:d5:cc:2f","68:ff:7b:9c:eb:36","192.168.0.104","216.58.203.34","52","6","35614 → 443 [ACK] Seq=40 Ack=40 Win=501 Len=0 TSval=282993479 TSecr=124845262"
"76","Feb 10, 2020 21:28:20.741282849 IST","105","39","68:ff:7b:9c:eb:36","98:22:ef:d5:cc:2f","216.58.203.34","192.168.0.104","91","6","Application Data"
"77","Feb 10, 2020 21:28:20.741332431 IST","66","0","98:22:ef:d5:cc:2f","68:ff:7b:9c:eb:36","192.168.0.104","216.58.203.34","52","6","35616 → 443 [ACK] Seq=40 Ack=40 Win=501 Len=0 TSval=282993482 TSecr=2422492796"
